rgn_id,species_latin,species_common,CHN_class,IUCN_class,value
LN,"Acipenser sinensis Gray
",Chinese Sturgeon,1,,0.46
LN,Pseudorca crassidens,False Killer Whale,2,,0.17
LN,Eumetopias jubatus ,Northern Sea Lion,2,VU,0.4
LN,Balaenoptera borealis,Sei Whale,2,EN,0.6
LN,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
LN,Balaenoptera acutorostrata,Common Minke Whale,2,LC,0
LN,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,vu,0.4
LN,Vormela peregusna,Spotted Seal,2,,0.17
LN,Dermochelys coriacea ,Leatherback Sea Turtle,2,CR,0.8
LN,Delphinus delphis ,short baked common dolphin,2,LC,0
LN,Haliaeetus pelagicus,Steller's Sea Eagle,1,VU,0.4
LN,Egretta eulophotes,Chinese Egret,2,VU,0.4
LN,Larus saundersi,Saunders's Gull,,VU,0.4
LN,Platalea minor,Black-faced Spoonbill,2,EN,0.6
LN,Coelomactra antiquata,Coelomactra antiquata,,EN,0.6
LN,Fenneropenaeus chinensis,Fenneropenaeus chinensis,,EN,0.6
LN,Glyptocidaris crenularis,Glyptocidaris crenularis,,EN,0.6
LN,Strongylocentrotus nuda ,Strongylocentrotus nudus,,EN,0.6
LN,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
HB,Pseudorca crassidens,False Killer Whale,2,,0.17
HB,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
HB,Larus minutus Pallas ,Little Gull,2,,0.17
HB,Balaenoptera brydei,"Bryde's Whale, Tropical Whale, Common Bryde's Whale, Eden's Whale, Pygmy Bryde's Whale, Bryde's Whale Complex",2,DD,0.17
HB,Mycteria leucocephala,Painted Stork,2,,0.17
HB,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
HB,Cephalochordata,Lancelet,2,,0.17
HB,Delphinus delphis ,short baked common dolphin,2,LC,0
HB,Chlidonias niger,Black Tern,2,,0.17
HB,Ciconia nigra,Black Stork,1,,0.46
HB,Coelomactra antiquata,Coelomactra antiquata,,EN,0.6
HB,Fenneropenaeus chinensis,Fenneropenaeus chinensis,,EN,0.6
HB,Nihonotrypaea harmandi ,Nihonotrypaea harmandi,,EN,0.6
HB,Nihonotrypaea japonica ,Nihonotrypaea japonica,,EN,0.6
HB,Upogebia major ,Upogebia major,,EN,0.6
HB,Branchiostoma japonicus ,,2,,0.17
HB,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
TJ,Pseudorca crassidens,False Killer Whale,2,,0.17
TJ,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
TJ,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
TJ,Delphinus delphis ,short baked common dolphin,2,LC,0
TJ,Chlidonias niger,Black Tern,2,,0.17
TJ,Larus relictus,Relict Gull,1,VU,0.4
TJ,Fenneropenaeus chinensis,Fenneropenaeus chinensis,,EN,0.6
TJ,Nihonotrypaea harmandi ,Nihonotrypaea harmandi,,EN,0.6
TJ,Nihonotrypaea japonica ,Nihonotrypaea japonica,,EN,0.6
TJ,Upogebia major ,Upogebia major,,EN,0.6
TJ,Strongylocentrotus nuda ,Strongylocentrotus nudus,,EN,0.6
TJ,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
SD,Acipenser sinensis,Chinese Sturgeon,1,,0.46
SD,Pseudorca crassidens,False Killer Whale,2,,0.17
SD,Hemiprocne coronata,Crested Treeswift,2,,0.17
SD,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
SD,Balaenoptera acutorostrata,Common Minke Whale,2,LC,0
SD,Megaptera novaeangliae ,Humpback Whale,2,LC,0
SD,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
SD,Cephalochordata,Lancelet,2,,0.17
SD,Dermochelys coriacea ,Leatherback Sea Turtle,2,,0.17
SD,Phalacrocorax pelagicus,Pelagic Cormorant,2,,0.17
SD,Hirundapus cochinchinensis ,Silver-backed Needletail,2,,0.17
SD,Eschrichtius robustus ,"Gray Whale, Grey Whale",,LC,0
SD,Platalea leucorodia,Eurasian Spoonbill,2,,0.17
SD,Ciconia ciconia ,White Stork,1,,0.46
SD,Delphinus delphis ,short baked common dolphin,2,LC,0
SD,Egretta eulophotes,Chinese Egret,2,VU,0.4
SD,Coelomactra antiquata,Coelomactra antiquata,,EN,0.6
SD,Fenneropenaeus chinensis,Fenneropenaeus chinensis,,EN,0.6
SD,Nihonotrypaea harmandi ,Nihonotrypaea harmandi,,EN,0.6
SD,Nihonotrypaea japonica ,Nihonotrypaea japonica,,EN,0.6
SD,Upogebia major ,Upogebia major,,EN,0.6
SD,Elamenopsis sinensis,Elamenopsis sinensis,,EN,0.6
SD,Glyptocidaris crenularis,Glyptocidaris crenularis,,EN,0.6
SD,Strongylocentrotus nuda ,Strongylocentrotus nudus,,EN,0.6
SD,Hemicentrotus pulcherrimus ,Hemicentrotus pulcherrimus,,EN,0.6
SD,Hydrolagus tsengi,Hydrolagus tsengi,,EN,0.6
SD,Heterodontus japonicus ,Heterodontus japonicus Dumeril,,EN,0.6
JS,Acipenser sinensis,Chinese Sturgeon,1,,0.46
JS,Pseudorca crassidens,False Killer Whale,2,,0.17
JS,Eumetopias jubatus ,Northern Sea Lion,2,VU,0.4
JS,Lepidochelys olivacea,Olive Ridley Sea Turtle,2,,0.17
JS,Lagenorhynchus obliquidens ,Pacific White-sided Dolphin,2,LC,0
JS,Tursiops truncatus ,Common Bottlenose Dolphin,2,,0.17
JS,Hydrocoloeus minutus,Little Gull,2,,0.17
JS,Megaptera novaeangliae ,Humpback Whale,2,LC,0
JS,Mycteria leucocephala,Painted Stork,1,,0.46
JS,Physeter catodon Linnaeus,"Sperm Whale, Spermacet Whale, Cachelot, Pot Whale",2,,0.17
JS,Ziphius cavirostris,"Cuvier's Beaked Whale, Goosebeak Whale, Goose-beaked Whale",2,,0.17
JS,Hirundapus cochinchinensis ,Silver-backed Needletail,2,,0.17
JS,Haliaeetus albicilla ,White-tailed Eagle,1,,0.46
JS,Lipotes vexillifer,Yangze River Dolphin,1,,0.46
JS,Ciconia ciconia ,White Stork,1,,0.46
JS,Delphinus delphis ,short baked common dolphin,2,LC,0
JS,Steno bredanensis ,Rough-toothed Dolphin,2,,0.17
JS,Chelonia mydas ,Green Turtle,2,,0.17
JS,Egretta eulophotes,Chinese Egret,2,VU,0.4
JS,Chlidonias niger,Black Tern,2,,0.17
JS,Coelomactra antiquata,Coelomactra antiquata,,EN,0.6
JS,Fenneropenaeus chinensis,Fenneropenaeus chinensis,,EN,0.6
JS,Metapenaeus joyneri,Metapenaeus joyneri,,EN,0.6
JS,Palaemon yamashitai ,Palaemon yamashitai Fujino & Miyake,,EN,0.6
