" ","score","status","future","trend","pressures","resilience"
"Index",44,,42.1,,,
"Food Provision",23.6,26.6,20.5,-0.7,,
". Fisheries",9.3,13.6,5,-1,51.2,62.6
". Mariculture",96.7,93.3,100,1,36.9,60.6
"Artisanal Fishing Opportunity",40.1,39.4,40.7,0,53.8,62.6
"Natural Products",54.3,65.8,42.8,-0.6,31.1,53.3
"Carbon Storage",39.7,40,39.4,-0.1,43.3,58.6
"Coastal Protection",37.2,37.1,37.2,-0.1,43.1,58.6
"Tourism & Recreation",68.5,50.7,86.4,1,48.1,58.6
"Coastal Livelihoods & Economies",23.4,17.4,29.4,0.9,,
". Livelihoods",36.9,27.6,46.2,0.9,27.8,58.4
". Economies",9.9,7.2,12.6,1,27.8,54.6
"Sense of Place",25.6,31.8,19.4,-0.7,,
". Iconic Species",33.8,38,29.6,-0.4,52.5,66.5
". Lasting Special Places",17.5,25.6,9.3,-1,48.5,58.6
"Clean Waters",77.8,97.1,58.5,-0.6,50.8,60.1
"Biodiversity",49.8,52.6,47.1,-0.2,,
". Habitats",60,60,60,-0.1,45.7,65.8
". Species",39.7,45.1,34.2,-0.4,57.1,64.8
