" ","score","status","future","trend","pressures","resilience"
"Index",66.79,,67.26,,,
"Food Provision",42.65,37.92,47.39,0.14,,
". Fisheries",6.28,6,6.56,0.01,39.9,66.16
". Mariculture",66.2,58.58,73.82,0.22,33.54,67.69
"Artisanal Fishing Opportunity",77.66,73.32,82,0.01,31.97,66.2
"Natural Products",52.03,44.87,59.2,0.22,23.29,74.47
"Carbon Storage",54.54,62.73,46.34,-0.56,30.89,65.51
"Coastal Protection",61.29,64.14,58.44,-0.3,30.5,65.51
"Tourism & Recreation",100,100,100,0.03,54.13,80.08
"Coastal Livelihoods & Economies",97.34,94.68,100,0.57,,
". Livelihoods",94.68,89.35,100,0.13,35.13,70.56
". Economies",100,100,100,1,31.73,66.9
"Sense of Place",72.61,71.18,74.04,-0.16,,
". Iconic Species",52.78,56,49.56,-0.33,36.7,69.52
". Lasting Special Places",92.44,86.36,98.52,0.02,40.01,78.95
"Clean Waters",30.77,33.51,28.02,-0.29,69.92,80.08
"Biodiversity",78.98,80.8,77.16,-0.22,,
". Habitats",77.02,77.03,77.02,-0.19,29.78,69.33
". Species",80.94,84.58,77.31,-0.25,42.25,67.82
