" ","score","status","future"
"Index",72.65,,73.56
"Food Provision",40.93,38.02,43.84
". Fisheries",5.24,5.01,5.47
". Mariculture",64.03,59.38,68.68
"Artisanal Fishing Opportunity",77.77,73.32,82.22
"Natural Products",92.47,90.59,94.34
"Carbon Storage",72.98,68.25,77.7
"Coastal Protection",61.47,64.14,58.81
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",97.34,94.68,100
". Livelihoods",94.68,89.35,100
". Economies",100,100,100
"Sense of Place",74.83,75.09,74.56
". Iconic Species",53.17,56,50.34
". Lasting Special Places",96.49,94.18,98.79
"Clean Waters",30.77,33.51,28.02
"Biodiversity",79.19,80.8,77.57
". Habitats",77.43,77.03,77.83
". Species",80.95,84.58,77.32
